"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"MAP2K3"	"MAP2K3"	2.79793614557309	1.48944670746187e-19	13640.6666666667	100045.25	38165.7143163807
"CHPF2"	"CHPF2"	2.79612761765531	1.53802719240991e-19	279738.75	1963622.41666667	782185.244603375
"PRKD1"	"PRKD1"	-2.78470803308207	2.19554805458023e-19	11506.3333333333	1641.33333333333	32041.7788646533
"SCARF2"	"SCARF2"	2.7675479938944	3.44820358330714e-19	50647.25	354219.583333333	140168.695133768
"HERC3"	"HERC3"	2.76633195534849	3.53156970329962e-19	9713.91666666667	70127.4166666667	26871.9180865923
"MED11"	"MED11"	-2.7635195131478	3.93037438493392e-19	8506.08333333333	1285.75	23506.7272721279
"UBXN10"	"UBXN10"	2.75068334664035	5.38212942094726e-19	41131.5833333333	268120	113139.96129595
"SERTAD3"	"SERTAD3"	-2.70984840836666	1.74596376278155e-18	56151.5	8807.25	152162.052902401
"AKAP1"	"AKAP1"	-2.70854475535692	1.92628687464269e-18	4612	680.333333333333	12491.8084117061
"TMEM45B"	"TMEM45B"	-2.68328545415069	3.63645269485477e-18	144165.5	22789.0833333333	386837.189140362
"CDH24"	"CDH24"	-2.67346573976547	4.75386771912814e-18	110103.833333333	17467.1666666667	294358.826233514
"VPS13D"	"VPS13D"	2.6682669574331	5.52177379020699e-18	2933.33333333333	18288.25	7826.91640847043
"ETV4"	"ETV4"	-2.66273576199787	6.43329905736098e-18	10554.3333333333	1804.5	28103.4008107128
"DLG1"	"DLG1"	2.65927541498327	6.88955923960948e-18	5515.41666666667	33210.75	14667.0119450556
"UBXN1"	"UBXN1"	-2.65370065838614	8.06268544670461e-18	17862.4166666667	2755.66666666667	47401.5068687009
"LIG1"	"LIG1"	-2.64530849541181	9.96346846932399e-18	34898.5	6139.75	92317.298527129
"ZC3H10"	"ZC3H10"	2.63176404861992	1.43604403499895e-17	126107.833333333	818784.583333333	331886.062016019
"TOPORS"	"TOPORS"	-2.62886108382308	1.53856429004603e-17	560185.75	102358.5	1472650.51788724
"SKA2"	"SKA2"	2.60562648910866	2.9579923037127e-17	7014.25	47140.1666666667	18276.5156012304
"RSPRY1"	"RSPRY1"	2.59755717149262	3.77079571757722e-17	1554.91666666667	9758.33333333333	4038.9849385734
"CTHRC1"	"CTHRC1"	-2.59549240938126	3.84166293061529e-17	33155.8333333333	5882.33333333333	86055.7137433768
"AGFG2"	"AGFG2"	-2.59033690949429	4.35309995801905e-17	369695.583333333	64939.4166666667	957636.114785354
"SRI"	"SRI"	2.58955982124472	4.55155089541598e-17	1485.66666666667	8380	3847.22270776257
"UBAC1"	"UBAC1"	-2.58470899189128	4.98952306304064e-17	85656	14846.0833333333	221395.83340944
"SYCP2L"	"SYCP2L"	-2.5814173949433	5.39064400812961e-17	341948.083333333	61247	882710.730484187
"SMUG1"	"SMUG1"	2.57532415923328	6.33237213391832e-17	20945.8333333333	128492.166666667	53942.3106186071
"CTTNBP2"	"CTTNBP2"	2.57135240570706	7.00049829205483e-17	15402.75	87507.3333333333	39605.8982670043
"SSSCA1"	"SSSCA1"	2.56910934043426	7.36673430385361e-17	15851.0833333333	97635.5833333333	40723.1662476685
"CACNB3"	"CACNB3"	-2.56696619229576	7.72540717205685e-17	123009.833333333	20665.8333333333	315762.083486603
"PTPRK"	"PTPRK"	2.53238815568689	2.03037841443912e-16	3819.25	21923.4166666667	9671.82346360714
"SEPT9"	"SEPT9"	-2.52524537320209	2.41854543462365e-16	143527.333333333	27252.9166666667	362441.734428034
"RXRA"	"RXRA"	2.51166945559188	3.49532786399275e-16	12204.0833333333	69830.4166666667	30652.6233418313
"CLIC4"	"CLIC4"	-2.50298471498005	4.43483930367638e-16	25424.8333333333	4439.16666666667	63637.9692142485
"HNRNPH3"	"HNRNPH3"	-2.49894788519033	4.84052104758136e-16	566427.75	113151.5	1415473.42797562
"TK2"	"TK2"	2.48958753891255	6.22622888899947e-16	11265.4166666667	68580	28046.240953991
"MTMR11"	"MTMR11"	2.48246747167405	7.46595185969174e-16	39782.5833333333	219101.75	98758.9690641622
"PEX19"	"PEX19"	-2.47322891597485	9.77691110928883e-16	10389.4166666667	1933.16666666667	25695.4057201111
"SH2D3A"	"SH2D3A"	-2.46684984139243	1.12632368226225e-15	57743.3333333333	10686.9166666667	142444.132674803
"GLRB"	"GLRB"	2.46563290561289	1.14670784542692e-15	132915.25	792799.416666667	327720.214057763
"TRIT1"	"TRIT1"	2.43604339018034	2.54715558617957e-15	37543.1666666667	205268.25	91456.7830047721
"TMEM98"	"TMEM98"	-2.42472144077569	3.42850217811037e-15	206783.5	38185.5	501392.38604864
"ZNF507"	"ZNF507"	-2.41885261074665	3.97576344696176e-15	331740.833333333	65975.25	802432.180799601
