"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"SS18L2"	"SS18L2"	-3.79457127350641	4.45865973020157e-129	87793.9393939394	6820.72727272727	333140.360412205
"FBLIM1"	"FBLIM1"	3.78734378499795	1.072185800807e-128	144124.878787879	2153590.72727273	545850.463940855
"NADK"	"NADK"	-3.77675717429293	4.25160042373991e-128	111158.878787879	8754.12121212121	419820.09294848
"GIMAP4"	"GIMAP4"	3.75840786762543	4.42802522372192e-127	8834.84848484848	129533.424242424	33204.9640547332
"RFX2"	"RFX2"	-3.7343438404819	9.65616334822887e-126	97632.7878787879	7980.75757575758	364594.400044227
"RPH3AL"	"RPH3AL"	-3.71072454493209	1.9226105291245e-124	293094	23901.8787878788	1087591.09977233
"BRI3"	"BRI3"	3.70688042633236	3.05905355806013e-124	377239.878787879	5448948.66666667	1398383.12271078
"TSPAN18"	"TSPAN18"	3.66345789680996	7.87009646683232e-122	11937.8181818182	163485.303030303	43733.6942888633
"SF1"	"SF1"	3.65286709033303	2.9437739193e-121	38005.3333333333	501545	138828.43139047
"CACNA1C"	"CACNA1C"	3.64153176545566	1.22166088171098e-120	65524.9696969697	896503.212121212	238611.258582035
"IGSF9"	"IGSF9"	-3.63666726136617	2.25686948996229e-120	227251.181818182	19430.0303030303	826436.933024953
"MED22"	"MED22"	3.62363822884052	1.15240254491646e-119	40076.7575757576	567236.03030303	145223.670839489
"CBR1"	"CBR1"	3.6194572383639	1.95355262858326e-119	13798.3939393939	182556.303030303	49942.6968217359
"MRPL48"	"MRPL48"	-3.60837156285718	7.70657316160484e-119	3161130.33333333	275474.909090909	11406532.8012852
"UBXN10"	"UBXN10"	3.6057771191598	1.06041147621474e-118	43785.8787878788	571087.090909091	157882.119875638
"KLHL14"	"KLHL14"	3.57528236851278	4.97459297580524e-117	19317.6060606061	250194.090909091	69065.8963503604
"LMO3"	"LMO3"	3.56630350066857	1.50570893685762e-116	65984.2121212121	848505.636363636	235319.726676736
"HAUS1"	"HAUS1"	-3.55935597513235	3.63808156728512e-116	125493.151515152	11476.5454545455	446674.798683644
"GNPTAB"	"GNPTAB"	-3.55437056469578	6.56482927625698e-116	3665614.84848485	335671.909090909	13028953.5189663
"POLA1"	"POLA1"	3.55363645518209	7.13642826005958e-116	49624.1212121212	641588.060606061	176346.086195769
"HNRNPD"	"HNRNPD"	3.52515336688885	2.51218116373877e-114	175589.454545455	2192308.66666667	618979.756881086
"USP31"	"USP31"	3.5242158633659	2.78957676121502e-114	147877.878787879	1866265.84848485	521153.566265141
"FBXO34"	"FBXO34"	-3.51615307845972	7.65936854812576e-114	212424.090909091	20014.0909090909	746915.621189007
"ACVR1C"	"ACVR1C"	3.4968180399914	8.3810620724069e-113	1198961.24242424	17012821.030303	4192549.30175959
"NAB1"	"NAB1"	-3.47806026249466	8.73180870821492e-112	202842.696969697	19469.9696969697	705499.12386755
"IPO4"	"IPO4"	3.4490809686671	3.14879816596555e-110	47439.6060606061	543195.787878788	163623.042424701
"C1orf21"	"C1orf21"	3.44141255659683	8.13611926208925e-110	18491.9696969697	218640.848484848	63638.4967113595
"PLD2"	"PLD2"	3.43083776157678	2.96413941372859e-109	33533.5151515152	397999.96969697	115048.050060225
"SHQ1"	"SHQ1"	3.36262295619738	1.34780972032155e-105	10806.2121212121	121252.515151515	36337.2169483263
"CXXC1"	"CXXC1"	3.35417153783467	3.68658019676344e-105	47033.696969697	532796.787878788	157759.087694899
"CTTNBP2"	"CTTNBP2"	3.3533346937195	4.08012231538882e-105	16588.7878787879	180318.848484848	55627.7579206928
"SLC15A4"	"SLC15A4"	3.34880357121844	6.92351764606419e-105	318045.181818182	3587581.78787879	1065070.84068155
"ABCE1"	"ABCE1"	3.33804144754934	2.59317470827648e-104	19492.5454545455	217017.818181818	65066.9246455123
"TRIO"	"TRIO"	3.3366584406725	3.02521623210939e-104	24673.1212121212	260261.484848485	82325.7781501598
"ERF"	"ERF"	-3.31176897028405	6.30182593753727e-103	171740.757575758	18329.3333333333	568765.711872469
"PEX13"	"PEX13"	-3.30666690104338	1.15306799702381e-102	257377.151515152	28607.2727272727	851060.507999978
"CACYBP"	"CACYBP"	-3.28266719311264	2.1461164812264e-101	125194.909090909	13441.8787878788	410973.220817447
"C1orf56"	"C1orf56"	3.22740009635654	1.68734995685752e-98	16692.7575757576	165129.242424242	53874.2074084564
"LCN2"	"LCN2"	-3.22576532661823	2.00497408173198e-98	1390367.39393939	164705.484848485	4484998.93063025
"SYT14"	"SYT14"	-3.21039076204329	1.26275458856995e-97	1066051.63636364	126704.575757576	3422442.32524295
"EHD1"	"EHD1"	3.20619819826979	2.07925471496958e-97	36219.4848484848	365359.727272727	116126.847063472
"TSPAN12"	"TSPAN12"	-3.19437358587977	8.46460420359008e-97	926681	106765.333333333	2960165.30893665
"BET1"	"BET1"	3.19080531255268	1.28227980260131e-96	370124.424242424	3579359.87878788	1180994.97917823
"VCAN"	"VCAN"	3.18004654452684	4.61388203189418e-96	91971.0606060606	919795.424242424	292472.253476772
"SCD5"	"SCD5"	-3.17889392931209	5.26833965837742e-96	332808.272727273	39582.3636363636	1057962.19779757
"DISP1"	"DISP1"	3.16392337749479	3.15698041160246e-95	13354.3333333333	126145.787878788	42252.0874241912
"RAD51"	"RAD51"	3.16378118969716	3.19613275022427e-95	11405.1212121212	109242.181818182	36083.3079571252
"RASGRP1"	"RASGRP1"	-3.14990276086791	1.62563499915131e-94	358505.424242424	44375.5151515152	1129257.22560733
"STXBP2"	"STXBP2"	-3.14868140157737	1.85295408876541e-94	1428847.18181818	176212.939393939	4498984.54708714
"FMOD"	"FMOD"	3.14510200827912	2.80846672831329e-94	231205.272727273	2259376.90909091	727164.167579266
"MTFR1"	"MTFR1"	-3.14325231634014	3.47094845889126e-94	1239191.6969697	146191.424242424	3895092.17188947
"GPR108"	"GPR108"	-3.14311313261165	3.52349191232564e-94	237874.909090909	29022.0606060606	747667.750682439
"SLC44A1"	"SLC44A1"	-3.13839776106002	6.17127733251639e-94	127220.181818182	15639.6060606061	399267.53377983
"TEAD2"	"TEAD2"	-3.11601534643102	8.58694555969145e-93	433821.484848485	54049.3636363636	1351794.40439937
"AKAP8"	"AKAP8"	3.10752142947468	2.36293786885177e-92	13091.1212121212	124867.939393939	40680.9397025172
"ATP11C"	"ATP11C"	-3.10282795618276	4.04803665723341e-92	171910.96969697	21662.1515151515	533410.162750245
"ZNF655"	"ZNF655"	-3.09768169636796	7.34737103712926e-92	208258.303030303	26651.4545454545	645117.933413622
"ZNF200"	"ZNF200"	-3.09680793668627	8.02655551087582e-92	455031.393939394	57789.3939393939	1409144.83219293
"DCTN3"	"DCTN3"	-3.09653666016068	8.22656871611262e-92	371506.636363636	44199.7575757576	1150383.91899298
"ROGDI"	"ROGDI"	-3.08869621653814	2.04948847354874e-91	829599.96969697	104750.787878788	2562382.28764319
"SNX5"	"SNX5"	3.08379373736696	3.64935264898305e-91	26639.7878787879	242166.727272727	82151.6110253904
"THAP5"	"THAP5"	3.07292913297505	1.29122155879374e-90	72964.7575757576	681216.363636364	224215.529235007
"HABP4"	"HABP4"	-3.0704994555275	1.73454076681269e-90	108894.121212121	13982.1818181818	334359.339891964
"GLRB"	"GLRB"	3.06779724378609	2.31697175320016e-90	126877.060606061	1161375.33333333	389233.096826953
"SMPD2"	"SMPD2"	3.05960370297749	6.00808648130153e-90	222262.666666667	1970964.78787879	680035.677966986
"PPARD"	"PPARD"	-3.05184490446332	1.48062714228736e-89	1503943.21212121	194501	4589801.42851431
"PLXNA2"	"PLXNA2"	3.04808464128405	2.29542800258354e-89	35820.9696969697	323009.545454545	109185.347569235
"ADAMTS3"	"ADAMTS3"	-3.04020785411397	5.81823992601566e-89	101763.484848485	13153.4545454545	309382.145898372
"LMNB2"	"LMNB2"	-3.03757863321119	7.70841981238872e-89	362485.515151515	48730.4848484848	1101078.25567279
"TLR2"	"TLR2"	3.028740378947	2.14357570884065e-88	67777.2424242424	597205.636363636	205279.670903983
