"mrs_all_DEGs"	"mrs_BRAF_DEGs"	"mrs_RAS_DEGs"
"TSPAN6"	0.832546269023342	1.38677874278889	-0.548053416098423
"DPM1"	-2.35721525508684	-2.66807348546718	0.777217694374684
"SCYL3"	-3.63146530606898	-2.36701025139286	-2.08758560596793
"C1orf112"	3.69659600898359	5.21234021576662	-2.25600125939967
"FGR"	2.62978043606958	3.2717927303894	-0.343952645092204
"CFH"	1.18005953315513	1.4259225576064	-4.45131652983751
"FUCA2"	2.99411198954141	2.54133277842358	2.15396576025306
"GCLC"	-3.14113855702575	-6.03662994109428	1.34878405178479
"NFYA"	-3.58298647359434	-1.98259547466985	-2.74181542415849
"STPG1"	4.00259820700581	3.63283480813087	2.12828676431717
"NIPAL3"	6.08424607722631	6.25578447956444	2.25362704098557
"LAS1L"	2.44510222198411	2.68065573114295	0.402536290757401
"ENPP4"	-4.01059622800176	-4.29992383873572	0.229288568838266
"SEMA3F"	7.94483567866137	6.22634216684238	5.06540688400669
"ANKIB1"	-4.94404187390272	-6.16063699843396	-0.904903087489191
"CYP51A1"	-2.66347654974101	-2.49953771676175	-0.383320966261549
"KRIT1"	-4.25045352943463	-5.74787325150777	0.477113215780832
"RAD52"	-0.390285558455075	0.351312133177975	-1.6771607172269
"BAD"	0.502456133580219	-0.721719080720525	2.44739374109316
"LAP3"	-0.676918351678103	-0.0746781200160549	-0.419435811610584
"CD99"	-0.941197942955328	-1.73406613073729	-1.25097890533618
"HS3ST1"	1.51021722481172	2.3421500120935	-2.5866028777818
"MAD1L1"	5.11551922025294	5.50117455587965	1.04129222010341
"LASP1"	9.0410333462258	9.95069300478761	1.82393114983996
"SNX11"	-4.9172972566209	-7.49359609364979	1.29470855844001
"TMEM176A"	2.68039715194299	3.87082494774399	-0.880311975928993
"M6PR"	-2.14186066773411	-1.58412251557967	-0.239291133544462
"KLHL13"	1.69379218839095	1.77538081934835	-3.92786649536977
"ICA1"	0.777561892162551	-0.340329841051009	1.43712202094797
"DBNDD1"	5.69063931465395	5.40908180373922	1.54951870761655
"ALS2"	-4.35454505318638	-4.10003687457574	-1.52278729383046
"CASP10"	6.03094548812501	5.27469164808907	2.44194681561664
"CFLAR"	-1.89444066601368	-0.455418184523948	-2.6504630142312
"TFPI"	-8.15071648977034	-7.18014530205065	-3.61872618840568
"NDUFAF7"	6.20694485990265	6.08715464277605	1.78234266755915
"RBM5"	1.37308433568881	2.01182900116847	-0.429563445381645
"MTMR7"	4.8139414593572	4.69732535603135	1.20250183912121
"SLC7A2"	3.7096195213383	3.41591072466143	1.13803354236911
"ARF5"	4.45934590691136	4.00278581351565	1.2147941360542
"SARM1"	-5.17362725646344	-5.0438008389701	-0.873091323937507
"POLDIP2"	1.4811079183946	-1.55999749831038	2.68552059906122
"PLXND1"	9.24338380027936	8.66647942485139	4.15413391870222
"AK2"	-1.05054796874125	-2.38997050785638	1.42527925806379
"CD38"	-2.42811297830477	-2.54705998947766	-1.75127492887343
"FKBP4"	-2.95101624357346	-7.261974993551	0.572148584452681
"KDM1A"	3.96347975962189	4.23426285076816	0.464886604875711
"RBM6"	0.415428188705336	0.746259494647245	-1.16028611199028
"CAMKK1"	3.53014919477614	3.31756651605988	1.23010697539612
"RECQL"	-2.40345675959593	-1.02416433066974	-3.21553840604843
"VPS50"	-4.94119925248265	-5.13459701228698	-1.13121722458848
"HSPB6"	-5.5940314753152	-4.22827891228475	-3.05085320843225
"ARHGAP33"	-2.39914099542325	-1.9336359928923	-1.51291547686761
"NDUFAB1"	2.49669879005297	1.9439933861431	2.53772489524389
"PDK4"	1.2899587695224	0.508722299119583	2.14107454495276
"ZMYND10"	1.6287156020201	1.35011125838467	1.46590105710038
"SLC25A13"	0.890631199826214	-1.44937233083468	2.34543050403552
"ST7"	-7.23041431685978	-9.31854714826903	-0.391331926918238
"CDC27"	-6.59030951773368	-6.11618444116027	-2.90475765009371
"HCCS"	-1.64780808879533	-3.27850802266629	0.919427123814498
"DVL2"	4.91495806818967	5.6964146217003	1.23727615156184
"UPF1"	7.29554707129437	6.83658169912187	2.21013178360706
"SKAP2"	-1.28598362696634	-0.088599609112905	-2.86117948837722
"SLC25A5"	0.123795909083999	-1.89840479830216	2.22434036266915
"MCUB"	4.04934554320685	5.7715148664214	-0.373847809364333
"POLR2J"	2.24360498244032	1.37820921547673	1.11095080187897
"DHX33"	-3.2701441607021	-3.79803282239423	-0.221225410846509
"THSD7A"	-1.48808400132369	-2.74164153863384	0.293471906700228
"LIG3"	-3.72469896567664	-3.92923088000211	-0.30043989044774
"RPAP3"	-1.42493074470375	-0.505230419924809	-0.0413682747118023
"ACSM3"	3.42043557861443	2.64652918567305	0.86295129116074
"REXO5"	5.90294886716902	5.31967317810027	2.43948022072229
"CIAPIN1"	-0.0935141927882987	-1.86631782105157	1.83701185301961
"SPPL2B"	0.727222971731903	0.03387246151809	0.628111296155161
"FAM214B"	4.55342666240485	4.1380556642364	-0.0426178473593115
"COPZ2"	-5.81695265749072	-7.77234898556473	0.836635773593698
"PRKAR2B"	-4.70984708262815	-5.02010159355407	-2.06456566248051
"MSL3"	0.842972042141764	2.33953243463761	-1.84234183190821
"CREBBP"	-5.16209083925009	-4.07240906767169	-2.33336987746097
"TSPOAP1"	-6.14453536036785	-5.13807937525259	-2.9593495314096
"GCFC2"	-3.29299094189264	-5.44995808739303	-0.0820529576040953
"WDR54"	3.76021914868911	3.54543019431028	-0.629381205658992
"CROT"	-2.61605660192709	-3.71648259219487	1.02929450673152
"ABCB4"	-0.959159620278322	-0.430773272307065	-1.35377478016936
"KMT2E"	-1.28816919756983	-0.291377200498645	-1.47307853828301
"RHBDD2"	6.71727743165725	5.3281668853011	3.74942613642403
"SOX8"	3.48577273476971	4.62850566280471	0.379528075519838
"IBTK"	-5.60464951169189	-4.99536513532118	-2.15681966994986
"ZNF195"	3.57156147619281	3.58269285543121	-0.486391664510101
"MYCBP2"	-4.70190981549624	-3.50962587287313	-2.28417936721262
"FBXL3"	-9.05098915469662	-8.3978154313535	-3.09446615726807
"ITGAL"	-1.62221692364331	-0.934324943727565	-1.73065082004559
"PDK2"	2.1688252135333	2.45880870595887	2.21059635863451
"ITGA3"	8.09845605972027	9.02691631479987	1.87981537958511
"ZFX"	-5.79740911934363	-5.30871698435594	-2.7995673877091
"LAMP2"	3.72920580878798	3.87036712188533	1.62624672293943
