"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"RAI1"	"RAI1"	5.8697415395826	2.94463936842264e-31	1033.51724137931	56334.724137931	6066.47908359896
"IRF1"	"IRF1"	5.81569532292621	7.14932139801537e-31	21.1724137931034	1288.22413793103	123.13230787161
"STAM"	"STAM"	5.80239842977717	9.68173962487459e-31	11547.1896551724	755303.775862069	67001.3951235115
"TMEM119"	"TMEM119"	5.7875882774768	1.24451909999067e-30	1111.05172413793	61247.1206896552	6430.30993429107
"ABCD4"	"ABCD4"	5.78568100969128	1.26823167911857e-30	2906.93103448276	147029.482758621	16818.5756826891
"ELAVL1"	"ELAVL1"	5.64425422846009	1.5897405439584e-29	119.086206896552	5927.98275862069	672.152826827135
"FMO6P"	"FMO6P"	-5.56858618824927	6.17983711074822e-29	13735.275862069	323.258620689655	76486.0674573108
"SNORD97"	"SNORD97"	5.5598865202632	7.15662604845476e-29	27200.5517241379	1345509.65517241	151231.980874756
"CABP7"	"CABP7"	5.48752025848201	2.59014395072994e-28	2061.25862068966	92442.7931034483	11311.1984390052
"KCNK4"	"KCNK4"	5.4595438411628	4.21755174994454e-28	2355.36206896552	100261.413793103	12859.2024773292
"C9orf152"	"C9orf152"	5.37964524651215	1.74321625505856e-27	23915.0862068966	823563.75862069	128654.679832859
"SFTPA1"	"SFTPA1"	5.37775936004972	1.77483449925766e-27	812.155172413793	36544.0172413793	4367.57508026107
"DOCK1"	"DOCK1"	5.34968915335269	2.89532148215047e-27	2771.94827586207	107531.586206897	14829.061625034
"JMJD1C"	"JMJD1C"	5.33604749921679	3.59576031997347e-27	10889	419172.344827586	58104.2212189716
"DCP1B"	"DCP1B"	5.33610332633953	3.59576031997347e-27	2176.22413793103	91596.1206896552	11612.5568612742
"ALKBH5"	"ALKBH5"	5.32272708597513	4.50108446588034e-27	5814.70689655172	246969.534482759	30950.0978952822
"PISRT1"	"PISRT1"	5.21228844424211	3.18277167761803e-26	530.896551724138	21588.8620689655	2767.18596163971
"YKT6"	"YKT6"	5.20646373998041	3.47802731145259e-26	586.637931034483	21934.5517241379	3054.30911642816
